Timestamp,GPU,VRAM,GPU Fan
2025-04-16T22:42:36,0,47.92,30
2025-04-16T22:42:36,0,47.92,30
2025-04-16T22:42:37,0,47.92,30
2025-04-16T22:42:37,0,47.92,30
2025-04-16T22:42:37,0,47.92,30
2025-04-16T22:42:37,0,47.92,30
2025-04-16T22:42:38,0,47.92,30
2025-04-16T22:42:38,0,47.92,30
2025-04-16T22:42:38,0,47.92,30
2025-04-16T22:42:38,0,47.92,30
2025-04-16T22:42:39,0,47.92,30
2025-04-16T22:42:39,0,47.92,30
2025-04-16T22:42:39,0,47.92,30
2025-04-16T22:42:39,0,47.92,30
2025-04-16T22:42:40,0,47.92,30
2025-04-16T22:42:40,0,47.92,30
2025-04-16T22:42:40,0,47.92,30
2025-04-16T22:42:40,0,47.92,30
2025-04-16T22:42:41,0,47.92,30
2025-04-16T22:42:41,0,47.92,30
2025-04-16T22:42:41,0,47.92,30
2025-04-16T22:42:41,0,47.92,30
2025-04-16T22:42:42,0,47.92,30
2025-04-16T22:42:42,0,47.92,30
2025-04-16T22:42:42,0,47.92,30
2025-04-16T22:42:42,0,47.92,30
2025-04-16T22:42:43,0,47.92,30
2025-04-16T22:42:43,0,47.92,30
2025-04-16T22:42:43,0,47.92,30
2025-04-16T22:42:43,0,47.92,30
2025-04-16T22:42:44,0,47.92,30
2025-04-16T22:42:44,0,47.92,30
2025-04-16T22:42:44,0,47.92,30
2025-04-16T22:42:44,0,47.92,30
2025-04-16T22:42:45,0,47.92,30
2025-04-16T22:42:45,0,47.92,30
2025-04-16T22:42:45,0,47.92,30
2025-04-16T22:42:45,0,47.92,30
2025-04-16T22:42:46,0,47.92,30
2025-04-16T22:42:46,0,47.92,30
2025-04-16T22:42:46,0,47.92,30
2025-04-16T22:42:46,0,47.92,30
2025-04-16T22:42:47,0,47.92,30
2025-04-16T22:42:47,0,47.92,30
2025-04-16T22:42:47,0,47.92,30
2025-04-16T22:42:47,0,47.92,30
2025-04-16T22:42:48,0,47.92,30
2025-04-16T22:42:48,0,47.92,30
2025-04-16T22:42:48,0,47.92,30
2025-04-16T22:42:48,0,47.92,30
2025-04-16T22:42:49,0,47.92,30
2025-04-16T22:42:49,0,47.92,30
2025-04-16T22:42:49,0,47.92,30
2025-04-16T22:42:49,0,47.92,30
2025-04-16T22:42:50,0,47.94,30
2025-04-16T22:42:50,0,47.94,30
2025-04-16T22:42:50,0,47.94,30
2025-04-16T22:42:50,0,47.94,30
2025-04-16T22:42:51,0,47.94,30
2025-04-16T22:42:51,0,47.94,30
2025-04-16T22:42:51,0,47.94,30
2025-04-16T22:42:51,0,47.94,30
2025-04-16T22:42:52,0,47.94,30
2025-04-16T22:42:52,0,47.94,30
2025-04-16T22:42:52,0,47.94,30
2025-04-16T22:42:52,0,47.94,30
2025-04-16T22:42:53,0,47.94,30
2025-04-16T22:42:53,0,47.94,30
2025-04-16T22:42:53,0,47.94,30
2025-04-16T22:42:53,0,47.94,30
2025-04-16T22:42:53,0,47.94,30
2025-04-16T22:42:54,0,47.94,30
2025-04-16T22:42:54,0,47.94,30
2025-04-16T22:42:54,0,47.94,30
2025-04-16T22:42:54,0,47.94,30
2025-04-16T22:42:55,0,47.94,30
2025-04-16T22:42:55,0,47.94,30
2025-04-16T22:42:55,0,47.94,30
2025-04-16T22:42:55,0,47.94,30
2025-04-16T22:42:56,0,47.94,30
2025-04-16T22:42:56,0,47.94,30
2025-04-16T22:42:56,0,47.94,30
2025-04-16T22:42:56,0,47.94,30
2025-04-16T22:42:57,0,47.94,30
2025-04-16T22:42:57,0,47.94,30
2025-04-16T22:42:57,0,47.94,30
